Epoch [1/300], train_loss: 4.4253
Epoch [2/300], train_loss: 4.3914
Epoch [3/300], train_loss: 4.3542
Epoch [4/300], train_loss: 4.3278
Epoch [5/300], train_loss: 4.2636
Epoch [6/300], train_loss: 4.1920
Epoch [7/300], train_loss: 4.0875
Epoch [8/300], train_loss: 3.8910
Epoch [9/300], train_loss: 3.6569
Epoch [10/300], train_loss: 3.2594
Epoch [11/300], train_loss: 2.9518
Epoch [12/300], train_loss: 2.7228
Epoch [13/300], train_loss: 2.5812
Epoch [14/300], train_loss: 2.4793
Epoch [15/300], train_loss: 2.4380
Epoch [16/300], train_loss: 2.4565
Epoch [17/300], train_loss: 2.4229
Epoch [18/300], train_loss: 2.4196
Epoch [19/300], train_loss: 2.4071
Epoch [20/300], train_loss: 2.4214
Epoch [21/300], train_loss: 2.4791
Epoch [22/300], train_loss: 2.4333
Epoch [23/300], train_loss: 2.4216
Epoch [24/300], train_loss: 2.4745
Epoch [25/300], train_loss: 2.3754
Epoch [26/300], train_loss: 2.4214
Epoch [27/300], train_loss: 2.3847
Epoch [28/300], train_loss: 2.3967
Epoch [29/300], train_loss: 2.3706
Epoch [30/300], train_loss: 2.3524
Epoch [31/300], train_loss: 2.3411
Epoch [32/300], train_loss: 2.3381
Epoch [33/300], train_loss: 2.3053
Epoch [34/300], train_loss: 2.2831
Epoch [35/300], train_loss: 2.2689
Epoch [36/300], train_loss: 2.2976
Epoch [37/300], train_loss: 2.1374
Epoch [38/300], train_loss: 2.1504
Epoch [39/300], train_loss: 2.1496
Epoch [40/300], train_loss: 2.1816
Epoch [41/300], train_loss: 2.0582
Epoch [42/300], train_loss: 2.0529
Epoch [43/300], train_loss: 1.9653
Epoch [44/300], train_loss: 1.9615
Epoch [45/300], train_loss: 1.9424
Epoch [46/300], train_loss: 1.9929
Epoch [47/300], train_loss: 1.9668
Epoch [48/300], train_loss: 1.8799
Epoch [49/300], train_loss: 1.8297
Epoch [50/300], train_loss: 1.8789
Epoch [51/300], train_loss: 1.7920
Epoch [52/300], train_loss: 1.7821
Epoch [53/300], train_loss: 1.7248
Epoch [54/300], train_loss: 1.7384
Epoch [55/300], train_loss: 1.6777
Epoch [56/300], train_loss: 1.6451
Epoch [57/300], train_loss: 1.5957
Epoch [58/300], train_loss: 1.5908
Epoch [59/300], train_loss: 1.7400
Epoch [60/300], train_loss: 1.5662
Epoch [61/300], train_loss: 1.6131
Epoch [62/300], train_loss: 1.4803
Epoch [63/300], train_loss: 1.5201
Epoch [64/300], train_loss: 1.4799
Epoch [65/300], train_loss: 1.5014
Epoch [66/300], train_loss: 1.4150
Epoch [67/300], train_loss: 1.4588
Epoch [68/300], train_loss: 1.6285
Epoch [69/300], train_loss: 1.3949
Epoch [70/300], train_loss: 1.3366
Epoch [71/300], train_loss: 1.3838
Epoch [72/300], train_loss: 1.2560
Epoch [73/300], train_loss: 1.2873
Epoch [74/300], train_loss: 1.2898
Epoch [75/300], train_loss: 1.3026
Epoch [76/300], train_loss: 1.2632
Epoch [77/300], train_loss: 1.2891
Epoch [78/300], train_loss: 1.3469
Epoch [79/300], train_loss: 1.3871
Epoch [80/300], train_loss: 1.1324
Epoch [81/300], train_loss: 1.2358
Epoch [82/300], train_loss: 1.1835
Epoch [83/300], train_loss: 1.1598
Epoch [84/300], train_loss: 1.0710
Epoch [85/300], train_loss: 1.1953
Epoch [86/300], train_loss: 1.1899
Epoch [87/300], train_loss: 1.1044
Epoch [88/300], train_loss: 1.2260
Epoch [89/300], train_loss: 1.1546
Epoch [90/300], train_loss: 1.2256
Epoch [91/300], train_loss: 1.0252
Epoch [92/300], train_loss: 1.0480
Epoch [93/300], train_loss: 1.0651
Epoch [94/300], train_loss: 1.0157
Epoch [95/300], train_loss: 0.9442
Epoch [96/300], train_loss: 0.9189
Epoch [97/300], train_loss: 1.1449
Epoch [98/300], train_loss: 0.9130
Epoch [99/300], train_loss: 0.9567
Epoch [100/300], train_loss: 0.9229
Epoch [101/300], train_loss: 0.9107
Epoch [102/300], train_loss: 1.0003
Epoch [103/300], train_loss: 0.9816
Epoch [104/300], train_loss: 1.0378
Epoch [105/300], train_loss: 0.9300
Epoch [106/300], train_loss: 0.8674
Epoch [107/300], train_loss: 0.8552
Epoch [108/300], train_loss: 0.8166
Epoch [109/300], train_loss: 0.8340
Epoch [110/300], train_loss: 0.9990
Epoch [111/300], train_loss: 0.9984
Epoch [112/300], train_loss: 0.8687
Epoch [113/300], train_loss: 0.8017
Epoch [114/300], train_loss: 0.8353
Epoch [115/300], train_loss: 1.0386
Epoch [116/300], train_loss: 0.8358
Epoch [117/300], train_loss: 0.9398
Epoch [118/300], train_loss: 0.7246
Epoch [119/300], train_loss: 0.6993
Epoch [120/300], train_loss: 0.9852
Epoch [121/300], train_loss: 0.8013
Epoch [122/300], train_loss: 0.8247
Epoch [123/300], train_loss: 0.6790
Epoch [124/300], train_loss: 0.9095
Epoch [125/300], train_loss: 0.8447
Epoch [126/300], train_loss: 0.9159
Epoch [127/300], train_loss: 0.8230
Epoch [128/300], train_loss: 0.8850
Epoch [129/300], train_loss: 0.7659
Epoch [130/300], train_loss: 0.8743
Epoch [131/300], train_loss: 0.6586
Epoch [132/300], train_loss: 0.7979
Epoch [133/300], train_loss: 0.7045
Epoch [134/300], train_loss: 0.6677
Epoch [135/300], train_loss: 0.6384
Epoch [136/300], train_loss: 0.7502
Epoch [137/300], train_loss: 0.6515
Epoch [138/300], train_loss: 0.8371
Epoch [139/300], train_loss: 0.6538
Epoch [140/300], train_loss: 0.7470
Epoch [141/300], train_loss: 0.6773
Epoch [142/300], train_loss: 0.6093
Epoch [143/300], train_loss: 0.7126
Epoch [144/300], train_loss: 0.5985
Epoch [145/300], train_loss: 0.7473
Epoch [146/300], train_loss: 0.5901
Epoch [147/300], train_loss: 0.7700
Epoch [148/300], train_loss: 0.7244
Epoch [149/300], train_loss: 0.7309
Epoch [150/300], train_loss: 0.6865
Epoch [151/300], train_loss: 0.5793
Epoch [152/300], train_loss: 0.8211
Epoch [153/300], train_loss: 0.7045
Epoch [154/300], train_loss: 0.7128
Epoch [155/300], train_loss: 0.6650
Epoch [156/300], train_loss: 0.7483
Epoch [157/300], train_loss: 0.6625
Epoch [158/300], train_loss: 0.6716
Epoch [159/300], train_loss: 0.5587
Epoch [160/300], train_loss: 0.7631
Epoch [161/300], train_loss: 0.7651
Epoch [162/300], train_loss: 0.6809
Epoch [163/300], train_loss: 0.7988
Epoch [164/300], train_loss: 0.6460
Epoch [165/300], train_loss: 0.6228
Epoch [166/300], train_loss: 0.6052
Epoch [167/300], train_loss: 0.5873
Epoch [168/300], train_loss: 0.6083
Epoch [169/300], train_loss: 0.6847
Epoch [170/300], train_loss: 0.5756
Epoch [171/300], train_loss: 0.6530
Epoch [172/300], train_loss: 0.5910
Epoch [173/300], train_loss: 0.6019
Epoch [174/300], train_loss: 0.6152
Epoch [175/300], train_loss: 0.6381
Epoch [176/300], train_loss: 0.5570
Epoch [177/300], train_loss: 0.5607
Epoch [178/300], train_loss: 0.6171
Epoch [179/300], train_loss: 0.6605
Epoch [180/300], train_loss: 0.6303
Epoch [181/300], train_loss: 0.6056
Epoch [182/300], train_loss: 0.6213
Epoch [183/300], train_loss: 0.6927
Epoch [184/300], train_loss: 0.5850
Epoch [185/300], train_loss: 0.5948
Epoch [186/300], train_loss: 0.6307
Epoch [187/300], train_loss: 0.5035
Epoch [188/300], train_loss: 0.5646
Epoch [189/300], train_loss: 0.5222
Epoch [190/300], train_loss: 0.6005
Epoch [191/300], train_loss: 0.5769
Epoch [192/300], train_loss: 0.6253
Epoch [193/300], train_loss: 0.5352
Epoch [194/300], train_loss: 0.4593
Epoch [195/300], train_loss: 0.5299
Epoch [196/300], train_loss: 0.5792
Epoch [197/300], train_loss: 0.5584
Epoch [198/300], train_loss: 0.4476
Epoch [199/300], train_loss: 0.6328
Epoch [200/300], train_loss: 0.6486
Epoch [201/300], train_loss: 0.5316
Epoch [202/300], train_loss: 0.6998
Epoch [203/300], train_loss: 0.4666
Epoch [204/300], train_loss: 0.4723
Epoch [205/300], train_loss: 0.5687
Epoch [206/300], train_loss: 0.7366
Epoch [207/300], train_loss: 0.4881
Epoch [208/300], train_loss: 0.4996
Epoch [209/300], train_loss: 0.5373
Epoch [210/300], train_loss: 0.4618
Epoch [211/300], train_loss: 0.4491
Epoch [212/300], train_loss: 0.6090
Epoch [213/300], train_loss: 0.4571
Epoch [214/300], train_loss: 0.6562
Epoch [215/300], train_loss: 0.5899
Epoch [216/300], train_loss: 0.5171
Epoch [217/300], train_loss: 0.5488
Epoch [218/300], train_loss: 0.4507
Epoch [219/300], train_loss: 0.4495
Epoch [220/300], train_loss: 0.4586
Epoch [221/300], train_loss: 0.5063
Epoch [222/300], train_loss: 0.4238
Epoch [223/300], train_loss: 0.4689
Epoch [224/300], train_loss: 0.5561
Epoch [225/300], train_loss: 0.5471
Epoch [226/300], train_loss: 0.5344
Epoch [227/300], train_loss: 0.5138
Epoch [228/300], train_loss: 0.5103
Epoch [229/300], train_loss: 0.5386
Epoch [230/300], train_loss: 0.5514
Epoch [231/300], train_loss: 0.5297
Epoch [232/300], train_loss: 0.4502
Epoch [233/300], train_loss: 0.5153
Epoch [234/300], train_loss: 0.6012
Epoch [235/300], train_loss: 0.4822
Epoch [236/300], train_loss: 0.5274
Epoch [237/300], train_loss: 0.5123
Epoch [238/300], train_loss: 0.5114
Epoch [239/300], train_loss: 0.6283
Epoch [240/300], train_loss: 0.4585
Epoch [241/300], train_loss: 0.4908
Epoch [242/300], train_loss: 0.6160
Epoch [243/300], train_loss: 0.4046
Epoch [244/300], train_loss: 0.5101
Epoch [245/300], train_loss: 0.4432
Epoch [246/300], train_loss: 0.3981
Epoch [247/300], train_loss: 0.6021
Epoch [248/300], train_loss: 0.4109
Epoch [249/300], train_loss: 0.3935
Epoch [250/300], train_loss: 0.4246
Epoch [251/300], train_loss: 0.4497
Epoch [252/300], train_loss: 0.4040
Epoch [253/300], train_loss: 0.6707
Epoch [254/300], train_loss: 0.4815
Epoch [255/300], train_loss: 0.4305
Epoch [256/300], train_loss: 0.4198
Epoch [257/300], train_loss: 0.5241
Epoch [258/300], train_loss: 0.5087
Epoch [259/300], train_loss: 0.4902
Epoch [260/300], train_loss: 0.4120
Epoch [261/300], train_loss: 0.3695
Epoch [262/300], train_loss: 0.4307
Epoch [263/300], train_loss: 0.3769
Epoch [264/300], train_loss: 0.4039
Epoch [265/300], train_loss: 0.4516
Epoch [266/300], train_loss: 0.3497
Epoch [267/300], train_loss: 0.4329
Epoch [268/300], train_loss: 0.4451
Epoch [269/300], train_loss: 0.3927
Epoch [270/300], train_loss: 0.4506
Epoch [271/300], train_loss: 0.5281
Epoch [272/300], train_loss: 0.3866
Epoch [273/300], train_loss: 0.4548
Epoch [274/300], train_loss: 0.3932
Epoch [275/300], train_loss: 0.4043
Epoch [276/300], train_loss: 0.5357
Epoch [277/300], train_loss: 0.3602
Epoch [278/300], train_loss: 0.3736
Epoch [279/300], train_loss: 0.4634
Epoch [280/300], train_loss: 0.6948
Epoch [281/300], train_loss: 0.3963
Epoch [282/300], train_loss: 0.3805
Epoch [283/300], train_loss: 0.4191
Epoch [284/300], train_loss: 0.4801
Epoch [285/300], train_loss: 0.3850
Epoch [286/300], train_loss: 0.3682
Epoch [287/300], train_loss: 0.6574
Epoch [288/300], train_loss: 0.4698
Epoch [289/300], train_loss: 0.4263
Epoch [290/300], train_loss: 0.6045
Epoch [291/300], train_loss: 0.3611
Epoch [292/300], train_loss: 0.3782
Epoch [293/300], train_loss: 0.3713
Epoch [294/300], train_loss: 0.4503
Epoch [295/300], train_loss: 0.3626
Epoch [296/300], train_loss: 0.3413
Epoch [297/300], train_loss: 0.4077
Epoch [298/300], train_loss: 0.4537
Epoch [299/300], train_loss: 0.5526
Epoch [300/300], train_loss: 0.4389
elapsed_time: 3.872s
